network,inputfile,objective,delta,optimizer,status,optval,time
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,Sherlock_Gurobi_8threads_1000.0m,success,-0.059752806757778894,1.152634041
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,Sherlock_Gurobi_1threads_1000.0m,success,-0.059752806757778894,0.498801654
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,Sherlock_GLPK_1000.0m,success,-0.05975280675777909,641.62881141
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,LBFGS,success,-0.08515068154653926,0.357907372
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,PGD,success,-0.08758649113265941,0.001501975
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,FGSM,success,-0.08515068145290144,0.002420095
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,Marabounosbt_ReLUViolation,success,-0.08515068154653904,1.262621682
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,Marabousbt_ReLUViolation,success,-0.08515068154653904,0.741324878
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,Marabounosbt_EarliestReLU,success,-0.08515068154653904,1.006708435
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,Marabousbt_EarliestReLU,success,-0.08515068154653904,0.76740882
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,MarabouBinarySearch_nosbt_ReLUViolation,success,-0.08519055855615168,2.780737325
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,MarabouBinarySearch_sbt_ReLUViolation,success,-0.08519055855615199,2.994367559
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,MarabouBinarySearch_nosbt_EarliestReLU,success,-0.08519055855615203,3.241726592
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,MarabouBinarySearch_sbt_EarliestReLU,success,-0.08519055855615199,3.472942094
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,VanillaMIPGurobi_8threads_1000.0m,success,-0.08515068154653899,0.048096628
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,VanillaMIPGurobi_1threads_1000.0m,success,-0.08515068154653899,0.036844399
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,VanillaMIPGLPK_1000.0m,timeout,-1.0,3600.242684264
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,Sherlock_Gurobi_8threads_1000.0m,success,-0.08515068154653896,0.159393722
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,Sherlock_Gurobi_1threads_1000.0m,success,-0.08515068154653896,0.123807479
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.001,Sherlock_GLPK_1000.0m,timeout,-1.0,3599.445619528
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,LBFGS,success,-0.07724677651174432,0.724434361
AutoTaxi_128Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,PGD,success,-0.08099805381501017,0.006613197
